,Date,Type,Country,Activity,Sex,Fatal (Y/N),Year
3201,19-Nov-1975,Unprovoked,AUSTRALIA,Standing,M,N,1975
3202,19-Nov-1975,Unprovoked,SOUTH AFRICA,Standing,M,N,1975
3203,07-Nov-1975,Unprovoked,AUSTRALIA,,M,N,1975
3204,02-Nov-1975,Unprovoked,USA,Surfing,M,N,1975
3205,21-Oct-1975,Invalid,USA,Surf fishing,M,,1975
3206,12-Oct-1975,Unprovoked,AUSTRALIA,Surfing,M,N,1975
3208,Sep-1975,Unprovoked,SOUTH AFRICA,Paddleskiing,M,N,1975
3209,17-Aug-1975,Unprovoked,SOUTH AFRICA,Surfing,M,N,1975
3210,12-Aug-1975,Unprovoked,USA,Floating on a small orange raft ,M,N,1975
3211,09-Aug-1975,Unprovoked,USA,Free diving for abalone,M,N,1975
3213,30-Jul-1975,Sea Disaster,USA,Sea disaster,F,Y,1975
3214,30-Jul-1975,Unprovoked,AUSTRALIA,Scuba diving for abalone,M,Y,1975
3215,26-Jul-1975.b,Unprovoked,USA,Free diving,M,N,1975
3216,26-Jul-1975,Unprovoked,AUSTRALIA,Surfing,M,N,1975
3217,23-Jul-1975,Unprovoked,USA,Scuba diving for abalone (at surface),M,N,1975
3218,19-Jul-1975,Unprovoked,USA,Hookah diving for abalone,M,N,1975
3219,15-Jul-1975,Unprovoked,USA,Swimming,F,N,1975
3220,5-Jul-1975,Provoked,AUSTRALIA,Spearfishing,M,N,1975
3221,04-Jul-1975,Unprovoked,USA,Surfing,M,N,1975
3222,23-Jun-1975,Unprovoked,USA,Swimming ,M,N,1975
3223,23-Jun-1975,Unprovoked,USA,Standing,F,N,1975
3224,15-Jun-1975,Unprovoked,USA,Swimming near his boat,M,N,1975
3225,02-Jun-1975,Unprovoked,USA,Surfing,M,N,1975
3226,Jun-1975,Provoked,USA,,M,N,1975
3227,25-May-1975,Unprovoked,USA,Surfing,M,N,1975
3228,20-May 1975,Unprovoked,USA,Bathing,F,N,1975
3230,18-Apr-1975,Invalid,SOUTH AFRICA,,M,,1975
3231,05-Apr-1975,Unprovoked,SOUTH AFRICA,Spearfishing Competition,M,N,1975
3232,29-Mar-1975,Invalid,SOUTH AFRICA,Swimming,M,,1975
3233,18-Mar-1975,Unprovoked,AUSTRALIA,,F,N,1975
3234,16-Mar-1975,Unprovoked,USA,Floating in inner tube,M,N,1975
3236,09-Mar-1975,Provoked,SOUTH AFRICA,Attempting to drag hooked shark ashore by its tail,M,N,1975
3238,23-Feb-1975,Unprovoked,SOUTH AFRICA,Surfing,M,N,1975
3240,10-Feb-1975,Unprovoked,AUSTRALIA,Swimming underwater from crayfish cage to a fishing bait,M,Y,1975
3241,09-Feb-1975,Unprovoked,AUSTRALIA,Crayfishing,M,N,1975
3242,07-Feb-1975,Unprovoked,AUSTRALIA,,M,N,1975
3243,01-Feb-1975,Provoked,SOUTH AFRICA,Fishing,M,N,1975
3244,19-Jan-1975,Unprovoked,AUSTRALIA,Surfing,M,Y,1975
3248,01-Nov-1974,Unprovoked,USA,Standing,M,N,1974
3249,28-Sep-1974,Unprovoked,USA,Surfing,M,N,1974
3250,14-Sep-1974,Unprovoked,USA,Hookah diving for abalone,M,N,1974
