,Date,Type,Country,Activity,Sex,Fatal (Y/N),Year
0,25-Jun-2018,Boating,USA,Paddling,F,N,2018
1,18-Jun-2018,Unprovoked,USA,Standing,F,N,2018
2,09-Jun-2018,Invalid,USA,Surfing,M,N,2018
3,08-Jun-2018,Unprovoked,AUSTRALIA,Surfing,M,N,2018
5,03-Jun-2018,Unprovoked,AUSTRALIA,Kite surfing,M,N,2018
7,27-May-2018,Unprovoked,USA,Fishing,M,N,2018
8,26-May-2018,Unprovoked,USA,Walking,M,N,2018
9,26-May-2018,Unprovoked,USA,Standing,M,N,2018
10,24-May-2018,Provoked,AUSTRALIA,Feeding sharks,M,N,2018
11,21-May-2018,Unprovoked,USA,Boogie boarding,M,N,2018
12,13-May-2018,Unprovoked,USA,Swimming,M,N,2018
14,May 2018,Provoked,AUSTRALIA,Feeding sharks,F,N,2018
15,12-May-2018,Unprovoked,SOUTH AFRICA,Surfing,M,N,2018
19,28-Apr-2018,Unprovoked,AUSTRALIA,Surfing,M,N,2018
21,25-Apr-2018,Unprovoked,AUSTRALIA,Surfing,M,N,2018
22,24-Apr-2018,Unprovoked,AUSTRALIA,Surfing,M,N,2018
24,22-Apr-2018,Unprovoked,SOUTH AFRICA,Paddle-skiing,M,N,2018
25,19-Apr-2018,Unprovoked,USA,Body boarding,M,N,2018
28,15-Apr-2018,Unprovoked,AUSTRALIA,Surfing,M,N,2018
34,03-Apr-2018,Unprovoked,SOUTH AFRICA,Surfing,M,N,2018
35,31-Mar-2018,Unprovoked,USA,Stand-Up Paddleboarding,M,N,2018
36,14-Mar-2018,Unprovoked,AUSTRALIA,Wading,M,N,2018
37,9-Mar-2018,Unprovoked,AUSTRALIA,Swimming,M,N,2018
38,9-Mar-2018,Unprovoked,AUSTRALIA,Surfing,M,N,2018
39,24-Feb-2018,Unprovoked,SOUTH AFRICA,Scuba Diving,M,N,2018
40,23-Feb-2018,Unprovoked,AUSTRALIA,Swimming,F,N,2018
41,18-Feb-2018,Provoked,AUSTRALIA,Kayak fishing for sharks,M,N,2018
42,15-Feb-2018,Unprovoked,AUSTRALIA,Walking,M,N,2018
43,14-Feb-2018,Invalid,AUSTRALIA,Swimming,F,N,2018
46,01-Feb-2018,Invalid,AUSTRALIA,Spearfishing,M,N,2018
47,28-Jan-2018,Unprovoked,AUSTRALIA,,M,N,2018
49,14-Jan-2018,Unprovoked,AUSTRALIA,Diving,M,N,2018
50,13-Jan-2018,Unprovoked,AUSTRALIA,Free diving,M,N,2018
52,05-Jan-2018,Unprovoked,AUSTRALIA,Surfing,M,N,2018
53,31-Dec-2017,Unprovoked,USA,Surfing,F,N,2017
54,30-Dec-2017,Unprovoked,USA,Surfing,F,N,2017
60,24-Nov-2017,Unprovoked,USA,Spearfishing,M,N,2017
61,18-Nov-2017,Unprovoked,USA,Surfing,F,N,2017
63,13-Nov-2017,Unprovoked,AUSTRALIA,Surfing,M,N,2017
65,31-Oct-2017,Unprovoked,AUSTRALIA,Snorkeling,M,N,2017
66,28-Oct-2017,Unprovoked,AUSTRALIA,Surfing,M,N,2017
67,26-Oct-2017,Unprovoked,USA,Stand-Up Paddleboarding,M,N,2017
69,23-Oct-2017,Unprovoked,USA,Surfing ,M,N,2017
70,23-Oct-2017,Unprovoked,USA,Swimming,F,N,2017
71,22-Oct-2017,Unprovoked,AUSTRALIA,Kayaking / Fishing,F,N,2017
73,18-Oct-2017,Unprovoked,USA,Swimming,M,N,2017
74,09-Oct-2017,Unprovoked,USA,Surfing,M,N,2017
75,05-Oct-2017,Unprovoked,USA,Snorkeling,F,N,2017
76,01-Oct-2017,Invalid,SOUTH AFRICA,Scuba Diving,M,,2017
77,25-Sep-2017,Unprovoked,USA,Surfing,M,N,2017
78,25-Sep-2017,Unprovoked,AUSTRALIA,Surfing,M,N,2017
79,24-Sep-2017,Invalid,USA,Surfing,M,,2017
80,24-Sep-2017,Unprovoked,USA,Surfing,M,N,2017
81,20-Sep-2017,Unprovoked,USA,Surfing,M,N,2017
83,16-Sep-2017,Unprovoked,USA,Surfing,M,N,2017
84,15-Sep-2017,Invalid,SOUTH AFRICA,Scuba Diving,M,,2017
87,13-Sep-2017,Unprovoked,USA,Surfing,M,N,2017
88,10-Sep-2017,Unprovoked,AUSTRALIA,Swimming,M,N,2017
89,10-Sep-2017,Unprovoked,AUSTRALIA,Surfing,M,N,2017
91,03-Sep-2017,Unprovoked,SOUTH AFRICA,"Swimming, poaching abalone",M,Y,2017
93,02-Sep-2017,Unprovoked,USA,Swimming,M,N,2017
94,02-Sep-2017,Unprovoked,USA,Swimming,F,N,2017
95,02-Sep-2017,Unprovoked,USA,Surfing,M,N,2017
96,29-Aug-2017,Unprovoked,AUSTRALIA,Surfing,M,N,2017
97,27-Aug-2017,Unprovoked,USA,Wading,F,N,2017
100,23-Aug-2017,Unprovoked,USA,SUP,M,N,2017
102,10-Aug-2017,Unprovoked,USA,Swimming,M,N,2017
104,03-Aug-2017,Provoked,USA,Fishing,M,N,2017
105,01-Aug-2017,Boating,USA,Kayaking / Fishing,M,N,2017
106,31-Jul-2017,Unprovoked,USA,Skimboarding,M,N,2017
107,29-Jul-2017,Invalid,USA,Swimming,M,,2017
108,29-Jul-2017,Unprovoked,USA,,F,N,2017
112,23-Jul-2017,Unprovoked,USA,,F,N,2017
114,22-Jul-2017,Unprovoked,USA,,F,N,2017
115,20-Jul-2017,Invalid,USA,Swimming,F,,2017
116,20-Jul-2017,Boating,USA,Kayaking,M,N,2017
117,20-Jul-2017,Unprovoked,USA,SUP,M,N,2017
118,14-Jul-2017,Unprovoked,USA,Surfing,M,N,2017
119,14-Jul-2017,Unprovoked,AUSTRALIA,Surfing,M,N,2017
120,11-Jul-2017,Boating,USA,Kayaking,M,N,2017
121,09-Jul-2017,Unprovoked,USA,Swimming,M,N,2017
123,07-Jul-2017,Unprovoked,SOUTH AFRICA,Surfing,F,N,2017
125,29-Jun-2017,Invalid,USA,Fishing,M,,2017
126,21-Jun-2017,Unprovoked,USA,Swimming,F,N,2017
127,19-Jun-2017,Unprovoked,USA,Surfing,M,N,2017
128,18-Jun-2017,Unprovoked,USA,Swimming,F,N,2017
133,11-Jun-2017,Unprovoked,AUSTRALIA,Body boarding,M,N,2017
134,10-Jun-2017,Unprovoked,AUSTRALIA,Surfing,F,N,2017
135,10-Jun-2017,Unprovoked,USA,Surfing,M,N,2017
137,04-Jun-2017,Unprovoked,USA,Spearfishing,M,N,2017
139,30-May-2017,Provoked,USA,Touching a shark,F,N,2017
140,28-May-2017,Unprovoked,USA,Feeding sharks,M,N,2017
141,27-May-2017,Invalid,AUSTRALIA,Fishing ,M,N,2017
143,06-May-2017,Provoked,AUSTRALIA,Attempting to lasso a shark,M,N,2017
145,03-May-2017,Invalid,USA,Surfing,F,,2017
146,29-Apr-2017,Unprovoked,USA,Swimming,F,N,2017
147,29-Apr-2017,Unprovoked,SOUTH AFRICA,Surfing,M,N,2017
148,29-Apr-2017,Unprovoked,USA,Surfing,F,N,2017
151,26-Apr-2017,Invalid,USA,Photo shoot,F,,2017
153,20-Apr-2017,Invalid,USA,Swimming,M,,2017
155,17-Apr-2017,Unprovoked,AUSTRALIA,Surfing,F,Y,2017
156,14-Apr-2017,Unprovoked,USA,Surfing,M,N,2017
157,13-Apr-2017,Unprovoked,USA,Surfing,M,N,2017
158,12-Apr-2017,Unprovoked,USA,Surfing,F,N,2017
159,12-Apr-2017,Invalid,SOUTH AFRICA,Scuba Diving,M,,2017
160,11-Apr-2017,Unprovoked,USA,Surfing,F,N,2017
161,10-Apr-2017,Unprovoked,USA,Paddle boarding,F,N,2017
162,10-Apr-2017,Unprovoked,USA,Swimming,F,N,2017
163,06-Apr-2017,Unprovoked,USA,Swimming,M,N,2017
164,05-Apr-2017,Unprovoked,USA,Swimming,F,N,2017
165,02-Apr-2017,Unprovoked,AUSTRALIA,Kakaying,M,N,2017
166,02-Apr-2017,Unprovoked,USA,Swimming,F,N,2017
167,27-Mar-2017,Unprovoked,USA,Surfing,M,N,2017
168,19-Mar-2017,Unprovoked,AUSTRALIA,Body boarding,M,N,2017
169,18-Mar-2017,Boating,USA,Kayaking,M,N,2017
172,25-Feb-2017,Unprovoked,AUSTRALIA,Snorkeling,F,N,2017
173,24-Feb-2017,Unprovoked,AUSTRALIA,Surfing,M,N,2017
175,17-Feb-2017,Unprovoked,AUSTRALIA,Spearfishing,M,N,2017
176,11-Feb-2017,Unprovoked,USA,Swimming,M,N,2017
178,06-Feb-2017,Boating,SOUTH AFRICA,Kayak fishing,M,N,2017
182,22-Jan-2017,Unprovoked,USA,,M,N,2017
183,21-Jan-2017,Unprovoked,AUSTRALIA,Scuba Diving,M,N,2017
184,13-Jan-2017,Unprovoked,AUSTRALIA,Swimming,M,N,2017
185,13-Jan-2017,Unprovoked,USA,,M,N,2017
187,08-Jan-2017,Invalid,AUSTRALIA,Spearfishing,M,,2017
188,05-Jan-2017,Unprovoked,USA,Wading,M,N,2017
189,03-Jan-2017,Invalid,AUSTRALIA,Wading,M,,2017
190,27-Dec-2016,Unprovoked,USA,Surfing,M,N,2016
191,24-Dec-2016,Unprovoked,AUSTRALIA,Snorkeling,F,N,2016
192,19-Dec-2016,Unprovoked,SOUTH AFRICA,Surf skiing ,M,N,2016
193,14-Dec-2016,Unprovoked,AUSTRALIA,Free diving,M,N,2016
195,11-Dec-2016,Invalid,USA,Surfing,M,,2016
196,06-Dec-2016,Provoked,AUSTRALIA,Surf fishing,M,N,2016
197,01-Dec-2016,Unprovoked,AUSTRALIA,Surfing,M,N,2016
198,28-Nov-2016,Provoked,AUSTRALIA,Fishing,M,N,2016
199,14-Nov-2016,Unprovoked,USA,Floating,F,N,2016
200,30-Oct-2016,Unprovoked,USA,Surfing,M,N,2016
201,29-Oct-2016,Unprovoked,USA,Surfing,M,N,2016
202,24-Oct-2016,Unprovoked,AUSTRALIA,Surfing,M,N,2016
203,21-Oct-2016,Unprovoked,USA,Surfing,M,N,2016
204,15-Oct-2016,Unprovoked,AUSTRALIA,Surfing,M,N,2016
205,14-Oct-2016,Unprovoked,USA,Snorkeling,F,N,2016
207,12-Oct-2016,Unprovoked,AUSTRALIA,Surfing,M,N,2016
208,10-Oct-2016,Unprovoked,USA,Surfing,M,N,2016
209,02-Oct-2016,Unprovoked,USA,Surfing,M,N,2016
210,01-Oct-2016,Unprovoked,USA,Surfng,M,N,2016
211,26-Sep-2016,Unprovoked,AUSTRALIA,Surfing,M,N,2016
212,18-Sep-2016,Unprovoked,USA,Surfing,M,N,2016
215,17-Sep-2016,Unprovoked,USA,Surfing,M,N,2016
216,17-Sep-2016,Unprovoked,AUSTRALIA,Surfing,M,N,2016
217,16-Sep-2016,Unprovoked,AUSTRALIA,Surfing,M,N,2016
219,11-Sep-2016,Unprovoked,USA,Wading,M,N,2016
220,07-Sep-2016,Unprovoked,USA,Swimming,F,N,2016
222,05-Sep-2016,Unprovoked,USA,Boogie boarding,F,N,2016
223,05-Sep-2016,Unprovoked,AUSTRALIA,Surfing,M,N,2016
224,04-Sep-2016,Unprovoked,USA,Body boarding,M,N,2016
225,01-Sep-2016,Unprovoked,USA,Spearfishing,M,N,2016
227,29-Aug-2016,Unprovoked,USA,Surfing,M,N,2016
230,25-Aug-2016,Unprovoked,USA,Wading,M,N,2016
232,06-Aug-2016,Unprovoked,USA,SUP Foil boarding,M,N,2016
233,04-Aug-2016,Unprovoked,USA,Surfing,M,N,2016
236,28-Jul-2016,Boating,AUSTRALIA,Kayaking,M,N,2016
237,27-Jul-2016,Provoked,USA,Lobstering,M,N,2016
238,26-Jul-2016,Unprovoked,AUSTRALIA,Surfing,M,N,2016
240,23-Jul-2016,Unprovoked,AUSTRALIA,Surfing,M,N,2016
242,20-Jul-2016,Provoked,AUSTRALIA,Fishing,M,N,2016
244,16-Jul-2016,Unprovoked,USA,Surfing,F,N,2016
245,16-Jul-2016,Unprovoked,USA,,F,N,2016
246,15-Jul-2016,Unprovoked,USA,Kite surfing,M,N,2016
247,15-Jul-2016,Unprovoked,USA,Swimming,M,N,2016
250,08-Jul-2016,Boating,USA,Fishing for squid,M,N,2016
251,07-Jul-2016,Provoked,USA,Fishing,M,N,2016
252,07-Jul-2016,Boating,USA,Fishing for sharks,M,N,2016
253,06-Jul-2016,Unprovoked,USA,Swimming,F,N,2016
254,04-Jul-2016,Provoked,AUSTRALIA,Fishing,M,N,2016
255,27-Jun-2016,Unprovoked,USA,,M,N,2016
256,25-Jun-2016,Unprovoked,USA,Surfing,M,N,2016
258,23-Jun-2016,Unprovoked,SOUTH AFRICA,Spearfishing,M,N,2016
259,21-Jun-2016,Unprovoked,USA,Floating,M,N,2016
260,21-Jun-2016,Unprovoked,USA,Wading,M,N,2016
261,15-Jun-2016,Unprovoked,USA,Surfing,M,N,2016
262,15-Jun-2016,Provoked,AUSTRALIA,Spearfishing,M,N,2016
263,14-Jun-2016,Unprovoked,USA,Floating in tube,F,N,2016
264,11-Jun-2016,Unprovoked,USA,Standing,M,N,2016
265,07-Jun-2016,Invalid,USA,Surfing,M,,2016
266,05-Jun-2016,Unprovoked,USA,Swimming,M,N,2016
267,05-Jun-2016,Unprovoked,AUSTRALIA,Diving,F,Y,2016
269,02-Jun-2016,Unprovoked,AUSTRALIA,Spearfishing,M,,2016
271,31-May-2016,Unprovoked,AUSTRALIA,Surfing,M,Y,2016
272,29-May-2016,Unprovoked,USA,Swimming,F,N,2016
273,29-May-2016,Unprovoked,USA,Swimming,M,N,2016
274,22-May-2016,Unprovoked,USA,Swimming,F,N,2016
275,21-May-2016,Unprovoked,USA,Swimming,F,N,2016
277,18-May-2016,Unprovoked,USA,Swimming,M,N,2016
278,15-May-2016,Provoked,USA,Teasing a shark,F,N,2016
279,03-May-2016,Unprovoked,USA,Floating,M,N,2016
282,23-Apr-2016,Unprovoked,USA,Surfing,M,N,2016
283,22-Apr-2016,Unprovoked,SOUTH AFRICA,Surf-skiing,M,N,2016
284,19-Apr-2016,Unprovoked,AUSTRALIA,Swimming,M,N,2016
287,13-Apr-2016,Unprovoked,USA,Spearfishing,M,N,2016
290,07-Apr-2016,Unprovoked,USA,Fishing,M,N,2016
291,07-Apr-2016,Invalid,USA,SUP,M,,2016
292,31-Mar-2016,Unprovoked,USA,Snorkeling,F,N,2016
293,30-Mar-2016,Unprovoked,AUSTRALIA,Surfing,M,N,2016
294,28-Mar-2016,Unprovoked,USA,,M,,2016
295,28-Mar-2016,Unprovoked,AUSTRALIA,Surfing,M,N,2016
298,11-Mar-2016,Unprovoked,USA,Body surfing,M,N,2016
300,04-Mar-2016,Unprovoked,USA,,M,N,2016
301,03-Mar-2016,Unprovoked,AUSTRALIA,Fishing,M,N,2016
307,10-Feb-2016,Invalid,AUSTRALIA,Surfing,M,,2016
308,05-Feb-2016,Unprovoked,AUSTRALIA,Walking,F,N,2016
309,04-Feb-2016,Unprovoked,AUSTRALIA,Windsurfing,M,N,2016
311,29-Jan-2016,Boating,SOUTH AFRICA,Kayak fishing,M,N,2016
312,28-Jan-2016,Unprovoked,USA,Surfing,M,N,2016
313,25-Jan-2016,Unprovoked,USA,Surfing,F,N,2016
314,24-Jan-2016,Unprovoked,USA,Spearfishing,M,N,2016
316,23-Jan-2016,Unprovoked,USA,Paddle boarding,M,N,2016
317,11-Jan-2016,Unprovoked,AUSTRALIA,Surfing,M,N,2016
318,05-Jan-2016,Unprovoked,AUSTRALIA,Wading,M,N,2016
319,02-Jan-2016,Unprovoked,AUSTRALIA,Spearfishing,M,N,2016
320,26-Dec-2015,Boating,SOUTH AFRICA,Kayak Fishing,M,N,2015
322,22-Dec-2015,Unprovoked,USA,Paddle boarding,M,N,2015
323,21-Dec-2015,Unprovoked,AUSTRALIA,Surfing,M,N,2015
328,08-Dec-2015,Unprovoked,SOUTH AFRICA,Swimming / Wading,F,N,2015
330,16-Nov-2015,Unprovoked,USA,Surfing,M,N,2015
331,15-Nov-2015,Unprovoked,USA,Swimming,F,N,2015
332,15-Nov-2015,Unprovoked,USA,Surfing,M,N,2015
333,10-Nov-2015,Unprovoked,AUSTRALIA,Surfing,M,N,2015
334,07-Nov-2015,Invalid,USA,Surfing,F,,2015
335,03-Nov-2015,Unprovoked,USA,Swimming,M,N,2015
336,01-Nov-2015,Unprovoked,USA,Wading,F,N,2015
338,30-Oct-2015,Unprovoked,AUSTRALIA,Spearfishing,M,N,2015
339,28-Oct-2015,Unprovoked,USA,Body boarding,M,N,2015
340,25-Oct-2015,Unprovoked,SOUTH AFRICA,Surfing,M,N,2015
341,21-Oct-2015,Unprovoked,USA,Surfing,M,N,2015
342,19-Oct-2015,Unprovoked,USA,Surfing,M,N,2015
344,17-Oct-2015,Invalid,USA,Surfing,M,,2015
345,17-Oct-2015,Unprovoked,USA,Swimming,M,N,2015
346,13-Oct-2015,Boating,USA,Kayak Fishing,M,N,2015
347,09-Oct-2015,Unprovoked,USA,Boogie boarding,F,N,2015
348,09-Oct-2015,Unprovoked,USA,Surfing,M,N,2015
350,07-Oct-2015,Unprovoked,AUSTRALIA,Surfing,M,N,2015
351,05-Oct-2015,Unprovoked,USA,Body boarding,M,N,2015
352,05-Oct-2015,Unprovoked,USA,Wading,M,N,2015
353,04-Oct-2015,Unprovoked,USA,Surfing,M,N,2015
354,29-Sep-2015,Unprovoked,USA,Surfing,M,N,2015
355,26-Sep-2015,Unprovoked,AUSTRALIA,Snorkeling,F,N,2015
356,24-Sep-2015,Boating,USA,Kayak fishing,M,N,2015
357,20-Sep-2015,Unprovoked,USA,Surfing,M,N,2015
358,20-Sep-2015,Unprovoked,USA,Spearfishing,M,N,2015
359,20-Sep-2015,Unprovoked,USA,Wading,M,N,2015
360,20-Sep-2015,Unprovoked,USA,Photographing fish,M,N,2015
361,19-Sep-2015,Boating,USA,Kayak Fishing,M,N,2015
362,18-Sep-2015,Unprovoked,USA,Swimming,M,N,2015
363,17-Sep-2015,Unprovoked,USA,Surfing,M,N,2015
364,08-Sep-2015,Unprovoked,AUSTRALIA,Surfing,M,N,2015
365,06-Sep-2015,Unprovoked,USA,Stand-Up Paddleboarding,F,N,2015
366,05-Sep-2015,Provoked,USA,Kayak Fishing,M,N,2015
367,04-Sep-2015,Unprovoked,AUSTRALIA,Surf-skiing,M,N,2015
368,03-Sep-2015,Unprovoked,USA,,M,N,2015
371,29-Aug-2015,Unprovoked,USA,Surfing,F,N,2015
372,29-Aug-2015,Unprovoked,USA,Surfing,M,N,2015
373,22-Aug-2015,Invalid,USA,,M,,2015
374,22-Aug-2015,Unprovoked,AUSTRALIA,Surfing,M,N,2015
375,20-Aug-2015,Unprovoked,USA,Surfing,M,N,2015
376,19-Aug-2015,Unprovoked,USA,Walking,F,N,2015
377,18-Aug-2015,Boating,USA,Kayak Fishing,M,N,2015
379,10-Aug-2015,Provoked,USA,Spearfishing,M,N,2015
380,31-Jul-2015,Unprovoked,AUSTRALIA,Surfing,M,N,2015
382,27-Jul-2015,,AUSTRALIA,Surfing,M,,2015
383,26-Jul-2015,Unprovoked,USA,Surfing,M,N,2015
384,26-Jul-2015,Invalid,USA,Floating,F,,2015
385,25-Jul-2015,Unprovoked,AUSTRALIA,Scallop diving on hookah,M,Y,2015
386,23-Jul-2015,Provoked,USA,Kayak Fishing,M,N,2015
387,23-Jul-2015,Unprovoked,AUSTRALIA,Surfing,M,N,2015
389,19-Jul-2015,Unprovoked,SOUTH AFRICA,Surfing,M,N,2015
390,10-Jul-2015,Unprovoked,USA,Surfing,M,N,2015
391,08-Jul-2015,Invalid,USA,Treading water,M,,2015
394,04-Jul-2015,Unprovoked,USA,,M,N,2015
395,03-Jul-2015,Unprovoked,AUSTRALIA,Surfing,M,N,2015
396,02-Jul-2015,Unprovoked,AUSTRALIA,Body boarding ,M,N,2015
397,01-Jul-2015,Unprovoked,USA,Swimming,M,N,2015
398,30-Jun-2015,Unprovoked,AUSTRALIA,Surfing,M,N,2015
399,30-Jun-2015,Unprovoked,USA,Playing in the water,M,N,2015
400,27-Jun-2015,Unprovoked,USA,Swimming,M,N,2015
401,27-Jun-2015,Unprovoked,SOUTH AFRICA,Body Boarding,M,N,2015
402,26-Jun-2015,Invalid,USA,Swimming,F,,2015
403,26-Jun-2015,Unprovoked,SOUTH AFRICA,Surfing,M,N,2015
404,26-Jun-2015,Unprovoked,USA,Standing,M,N,2015
405,25-Jun-2015,Provoked,AUSTRALIA,Swimming,M,N,2015
406,25-Jun-2015,Unprovoked,USA,Body surfing?,M,N,2015
407,24-Jun-2015,Unprovoked,USA,Swimming,M,N,2015
408,24-Jun-2015,Invalid,AUSTRALIA,Surfing,F,N,2015
409,23-Jun-2015,Unprovoked,USA,Standing,M,N,2015
411,17-Jun-2015,Unprovoked,USA,Swimming,M,N,2015
412,14-Jun-2015,Unprovoked,USA,Wading,M,N,2015
413,14-Jun-2015,Unprovoked,USA,Wading,F,N,2015
414,13-Jun-2015,Unprovoked,USA,,F,N,2015
415,11-Jun-2015,Unprovoked,USA,Boogie boarding,F,N,2015
416,07-Jun-2015,Unprovoked,USA,Playing,M,N,2015
417,05-Jun-2015,Unprovoked,USA,Attempting to rescue a shark,F,N,2015
419,29-May-2015,Unprovoked,USA,Standing,F,N,2015
420,29-May-2015,Unprovoked,USA,Wading,F,N,2015
422,24-May-2015,Unprovoked,USA,Swimming,F,N,2015
423,20-May2015,Unprovoked,USA,Surfing,M,N,2015
424,15-May-2015,Unprovoked,USA,,M,N,2015
426,07-May-2015,Unprovoked,USA,Swimming,M,N,2015
427,03-May-2015,Unprovoked,AUSTRALIA,Surfing,M,N,2015
428,02-May-2015,Unprovoked,SOUTH AFRICA,Diving,M,N,2015
429,29-Apr-2015,Unprovoked,USA,Snorkeling,F,Y,2015
430,26-Apr-2015,Unprovoked,USA,Wading,M,N,2015
431,25-Apr-2015,Unprovoked,AUSTRALIA,Surfing,M,N,2015
432,24-Jun-2015,Unprovoked,AUSTRALIA,Surf skiing ,M,N,2015
433,13-Apr-2015,Unprovoked,USA,Photographing the shark,M,N,2015
435,11-Apr-2015,Unprovoked,AUSTRALIA,Paddle boarding,M,N,2015
436,03-Apr-2015,Unprovoked,USA,Spearfishing,M,N,2015
439,26-Mar-2015,Boating,SOUTH AFRICA,Kayak Fishing,M,N,2015
441,18-Mar-2015,Unprovoked,USA,Standing / Snorkeling,M,N,2015
443,11-Mar-2015,Boating,AUSTRALIA,Fishing,M,N,2015
448,09-Feb-2015,Unprovoked,AUSTRALIA,Surfing,M,Y,2015
449,08-Feb-2015,Unprovoked,AUSTRALIA,Surfing,M,N,2015
450,05-Feb-2015,Unprovoked,AUSTRALIA,Bodysurfing,M,N,2015
451,30-Jan-2015,Boating,AUSTRALIA,Rowing,M,N,2015
452,27-Jan-2015,Provoked,USA,Shark fishing,M,N,2015
453,24-Jan-2015,Unprovoked,AUSTRALIA,Surfing,M,N,2015
454,23-Jan-2015,Unprovoked,SOUTH AFRICA,Floating,M,N,2015
455,19-Jan-2015,Boating,USA,Fishing,M,N,2015
456,19-Jan-2015,Invalid,AUSTRALIA,Surfing & filming dolphins,F,,2015
457,17-Jan-2015,Boating,AUSTRALIA,Fishing,M,N,2015
458,16-Jan-2015,Unprovoked,AUSTRALIA,Filming,M,N,2015
459,08-Jan-2015,Invalid,USA,Swimming after falling overboard,M,,2015
461,03-Jan-2015,Unprovoked,SOUTH AFRICA,Surfing,M,N,2015
462,01-Jan-2015,Unprovoked,USA,,M,N,2015
464,29-Dec-2014,Unprovoked,AUSTRALIA,Spearfishing,M,Y,2014
467,28-Dec-2014,Unprovoked,USA,Surfing,M,N,2014
468,28-Dec-2014,Provoked,AUSTRALIA,Fishing,M,N,2014
470,15-Dec-2014,Unprovoked,AUSTRALIA,Spearfishing,M,Y,2014
472,29-Nov-2014,Unprovoked,AUSTRALIA,Surfing,M,N,2014
474,19-Nov-2014,Boating,AUSTRALIA,Fishing,M,N,2014
476,16-Nov-2014,Unprovoked,USA,Surfing,M,N,2014
477,13-Nov-2014,Unprovoked,USA,Snorkeling,M,N,2014
478,10-Nov-2014,Unprovoked,AUSTRALIA,Surfing,M,N,2014
479,08-Nov-2014,Unprovoked,USA,Surfing,M,N,2014
480,31-Oct-2014,Unprovoked,USA,Surfing,F,N,2014
481,29-Oct-2014,Provoked,AUSTRALIA,Surfing,M,N,2014
482,22-Oct-2014,Unprovoked,USA,Stand-Up Paddleboarding,F,N,2014
483,20-Oct-2014,Unprovoked,USA,Stand-Up Paddleboarding,M,N,2014
484,19-Oct-2014,Boating,USA,Canoeing,F,N,2014
485,18-Oct-2014,Unprovoked,USA,Surfing,M,N,2014
486,17-Oct-2014,Unprovoked,AUSTRALIA,Surfing,F,N,2014
487,14-Oct-2014,Unprovoked,USA,Standing in inner tube,F,N,2014
488,12-Oct-2014,Unprovoked,USA,Body surfing or Boogie boarding,F,N,2014
489,11-Oct-2014,Boating,AUSTRALIA,Kayaking,M,N,2014
490,05-Oct-2014,Unprovoked,USA,Surfing,M,N,2014
491,07-Oct-2014,Unprovoked,USA,Fishing,F,N,2014
493,03-Oct-2014,Boating,USA,Kayaking,M,N,2014
494,03-Oct-2014,Boating,USA,Kayaking ,M,N,2014
495,02-Oct-2014,Unprovoked,USA,Surfing,M,N,2014
496,02-Oct-2014,Unprovoked,AUSTRALIA,Surfing,M,N,2014
497,21-Sep-2014,Unprovoked,USA,Surfing,M,N,2014
499,13-Sep-2014,Invalid,USA,Surfing,M,,2014
500,09-Sep-2014,Unprovoked,AUSTRALIA,Swimming,M,Y,2014
501,06-Sep-2014,Unprovoked,USA,Fishing ,M,N,2014
502,03-Sep-2014,Boating,USA,Kayaking ,F,N,2014
503,02-Sep-2014,Provoked,USA,Fishing,M,N,2014
505,31-Aug-2014,Unprovoked,USA,Body surfing,F,N,2014
506,29-Aug-2014,Unprovoked,USA,Surfing,M,N,2014
508,28-Aug-2014,Provoked,USA,Fishing,M,N,2014
510,27-Aug-2014,Unprovoked,USA,Surfing,M,N,2014
511,27-Aug-2014,Unprovoked,USA,Standing,F,N,2014
512,25-Aug-2014,Provoked,USA,Fishing for sharks,M,N,2014
514,16-Aug-2014,Unprovoked,AUSTRALIA,Spearfishing,M,N,2014
515,12-Aug-2014,Unprovoked,USA,Standing,M,N,2014
516,10-Aug-2014,Unprovoked,USA,,M,N,2014
518,09-Aug-2014,Unprovoked,USA,Swimming,F,N,2014
519,08-Aug-2014,Unprovoked,USA,Swimming,M,N,2014
520,06-Aug-2014,Unprovoked,USA,Boogie boarding,M,N,2014
521,05-Aug-2014,Unprovoked,USA,Swimming,F,N,2014
522,02-Aug-2014,Unprovoked,USA,Surfing,M,N,2014
523,02-Aug-2014,Unprovoked,USA,Boogie boarding,M,N,2014
524,01-Aug-2014,Unprovoked,SOUTH AFRICA,Surfing,M,N,2014
526,27-Jul-2014,Unprovoked,USA,Swimming,M,N,2014
528,21-Jul-2014,Unprovoked,USA,Standing,M,N,2014
530,16-Jul-2014,Unprovoked,USA,Swimming,M,N,2014
531,14-Jul-2014,Unprovoked,USA,Swimming,M,N,2014
533,12-Jul-2014,Unprovoked,USA,Body surfing,M,N,2014
534,9-Jul-2014,Unprovoked,USA,Surfing,M,N,2014
535,5-Jul-2014,Provoked,USA,Swimming,M,N,2014
536,5-Jul-2014,Unprovoked,USA,Surfing,M,N,2014
537,3-Jul-2014,Unprovoked,USA,Body surfing,M,N,2014
540,18-Jun-2014,Unprovoked,AUSTRALIA,Surfing,M,N,2014
541,18-Jun-2014,Unprovoked,AUSTRALIA,Body boarding,M,N,2014
542,17-Jun-2014,Provoked,AUSTRALIA,Petting a shark,M,N,2014
544,09-Jun-2014,Unprovoked,USA,Standing,M,N,2014
545,09-Jun-2014,Unprovoked,AUSTRALIA,Body boarding,M,N,2014
